link,listing_title,listing_mileage,primary_price,deal_gauge,exterior_color,interior_color,drivetrain,mpg,fuel_type,transmission,engine,vin,stock_number,vehicle_history,seller_name,price_history,Accidents or damage,1-owner vehicle,Personal use only,Open recall,Clean title,year,make,model,listed_date,price_change,price_change_percentage,Cylinders,Liters,Boosted
https://www.cars.com/vehicledetail/5ee3ae04-693c-4b24-87be-fca023ba3120/,2018 Hyundai Santa Fe Sport 2.4L,79497,17899,Good Deal $2 under,Nightfall Blue,Beige,Front-wheel Drive,21-27,Gasoline,6-Speed Automatic,2.4L I4 16V GDI DOHC,5XYZT3LB3JG542718,13669,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'Yes', 'Personal use only': 'No', 'Open recall': 'At least 1 open recall reported'}",ETHIO Motors,"[('9/21/21', 'Listed', '$20,299'), ('2/04/22', '+$201', '$20,500'), ('3/30/22', '+$400', '$20,900'), ('4/01/22', '+$499', '$21,399'), ('2/24/23', '-$2,600', '$18,799'), ('10/20/23', '-$900', '$17,899')]",None reported,Yes,No,At least 1 open recall reported,,2018,Hyundai,Santa Fe Sport 2.4L,2021-09-21,-2400.0,-11.823242524262279,4,2.4,False
https://www.cars.com/vehicledetail/c99e5035-76ec-4038-971a-0e4e5f8aff63/,2017 RAM 1500 Express,80326,27900,This is a good deal.,Silver,Black,Four-wheel Drive,16-23,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,3C6RR7KT1HG533082,KBB2955,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes'}",Custom Cars West,"[('3/15/22', 'Listed', '$30,985'), ('6/01/22', '-$200', '$30,785'), ('6/14/22', '-$343', '$30,442'), ('7/14/22', '-$492', '$29,950'), ('12/13/22', '-$1,000', '$28,950'), ('4/08/23', '-$1,050', '$27,900')]",None reported,No,Yes,,,2017,RAM,1500 Express,2022-03-15,-3085.0,-9.95643053090205,8,5.7,False
https://www.cars.com/vehicledetail/4e79fa3a-bac3-4b94-9331-ec9064163f59/,2019 Nissan Kicks SR,92959,18950,This is a fair deal. Why?,Monarch Orange / Super Black,Charcoal,Front-wheel Drive,31-36,Gasoline,Automatic CVT,1.6L I4 16V MPFI DOHC,3N1CP5CU6KL510673,KBB3225,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes'}",Custom Cars West,"[('4/16/22', 'Listed', '$19,980'), ('6/01/22', '-$200', '$19,780'), ('7/14/22', '-$830', '$18,950')]",None reported,No,Yes,,,2019,Nissan,Kicks SR,2022-04-16,-1030.0,-5.155155155155155,4,1.6,False
https://www.cars.com/vehicledetail/86a0d096-320c-4636-8778-63fd55e88873/,2019 RAM 1500 Laramie,59176,39950,Great Deal $968 under,Gray,Black,Four-wheel Drive,19-24,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6SRFDT5KN869809,KBB3246,"{'Accidents or damage': 'At least 1 accident or damage reported', '1-owner vehicle': 'No', 'Personal use only': 'No', 'Open recall': 'At least 1 open recall reported'}",Custom Cars West,"[('6/01/22', 'Listed', '$40,523'), ('7/14/22', '-$573', '$39,950')]",At least 1 accident or damage reported,No,No,At least 1 open recall reported,,2019,RAM,1500 Laramie,2022-06-01,-573.0,-1.4140117957703031,8,5.7,False
https://www.cars.com/vehicledetail/36efbef5-f2b8-4e53-8154-3f4eac91aef2/,2015 Jeep Wrangler Unlimited Rubicon,135385,26950,This is a good deal.,Blue,Black,Four-wheel Drive,16-21,Gasoline,-,3.6L V6 24V MPFI DOHC,1C4BJWFG2FL530006,KBB3145,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes', 'Open recall': 'At least 1 open recall reported'}",Custom Cars West,"[('1/21/22', 'Listed', '$29,950'), ('3/22/22', '-$2,000', '$27,950'), ('6/01/22', '-$200', '$27,750'), ('7/30/22', '-$800', '$26,950')]",None reported,No,Yes,At least 1 open recall reported,,2015,Jeep,Wrangler Unlimited Rubicon,2022-01-21,-3000.0,-10.01669449081803,6,3.6,False
https://www.cars.com/vehicledetail/09f8319c-744b-41d0-9cf1-86958bfd9b94/,2017 RAM 1500 Big Horn,95112,28950,This is a good deal.,Red,Black,Four-wheel Drive,16-23,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6RR7GT2HS823090,KBB3301,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'No'}",Custom Cars West,"[('3/15/22', 'Listed', '$29,950'), ('6/01/22', '-$200', '$29,750'), ('7/14/22', '-$800', '$28,950')]",None reported,No,No,,,2017,RAM,1500 Big Horn,2022-03-15,-1000.0,-3.33889816360601,8,5.7,False
https://www.cars.com/vehicledetail/1c8bd330-02e9-46ce-8abf-194d954b37c0/,2017 Maserati Levante Base,62355,32998,This is a good deal.,Gray,Black,All-wheel Drive,14-20,Gasoline,8-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo,ZN661XUS0HX239075,5857,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'No'}",Levis Auto Sales,"[('1/15/22', 'Listed', '$43,998'), ('7/30/22', '-$2,000', '$41,998'), ('9/29/22', '-$1,000', '$40,998'), ('11/04/22', '-$1,000', '$39,998'), ('1/20/23', '-$2,000', '$37,998'), ('6/16/23', '-$1,000', '$36,998'), ('7/07/23', '-$2,000', '$34,998'), ('9/22/23', '-$2,000', '$32,998')]",None reported,No,No,,,2017,Maserati,Levante Base,2022-01-15,-11000.0,-25.001136415291604,6,3.0,True
https://www.cars.com/vehicledetail/3a09e54c-1b82-43a9-bc18-19e46cc5d349/,2018 Audi Q5 2.0T Premium Plus,63768,38950,,Ibis White,Black,All-wheel Drive,23-27,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1BNAFY3J2033197,KBB3433,"{'Accidents or damage': 'None reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes', 'Open recall': 'At least 1 open recall reported'}",Custom Cars West,"[('1/21/22', 'Listed', '$37,950'), ('3/04/22', '-$1,000', '$36,950'), ('6/01/22', '-$250', '$36,700'), ('6/09/22', '-$750', '$35,950'), ('12/13/22', '-$1,000', '$34,950'), ('7/15/23', '+$4,000', '$38,950')]",None reported,No,Yes,At least 1 open recall reported,,2018,Audi,Q5 2.0T Premium Plus,2022-01-21,1000.0,2.635046113306983,4,2.0,True
https://www.cars.com/vehicledetail/a76ecc5e-1254-47d9-90de-f0bfe1adfb88/,2019 Audi Q5 2.0T Premium,28520,27998,"Great Deal $1,184 under",Matador Red Metallic,Black,All-wheel Drive,22-27,Gasoline,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo,WA1ANAFYXK2114727,5885,"{'Accidents or damage': 'At least 1 accident or damage reported', '1-owner vehicle': 'Yes', 'Personal use only': 'No', 'Open recall': 'At least 1 open recall reported'}",Levis Auto Sales,"[('5/13/22', 'Listed', '$35,998'), ('11/05/22', '-$2,000', '$33,998'), ('6/16/23', '-$2,000', '$31,998'), ('7/07/23', '-$3,000', '$28,998'), ('7/22/23', '-$1,000', '$27,998')]",At least 1 accident or damage reported,Yes,No,At least 1 open recall reported,,2019,Audi,Q5 2.0T Premium,2022-05-13,-8000.0,-22.223456858714375,4,2.0,True
https://www.cars.com/vehicledetail/4e93540c-a442-428a-86ec-ff0b244c5c90/,2014 Chevrolet Malibu 1LS,82995,9999,"Great Deal $1,177 under",Gray,Black,Front-wheel Drive,25-36,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,1G11B5SL0EF116413,116413,"{'Accidents or damage': 'At least 1 accident or damage reported', '1-owner vehicle': 'No', 'Personal use only': 'Yes'}",CTS Auto,"[('3/12/22', 'Listed', '$12,999'), ('5/17/22', '-$500', '$12,499'), ('5/31/22', '-$500', '$11,999'), ('10/08/22', '-$100', '$11,899'), ('6/16/23', '-$100', '$11,799'), ('9/13/23', '-$1,800', '$9,999')]",At least 1 accident or damage reported,No,Yes,,,2014,Chevrolet,Malibu 1LS,2022-03-12,-3000.0,-23.078698361412417,4,2.5,False
